trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.9832000000000019}",25,0,-77.48303631065404,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.9828000000000019}",25,0,-88.5864773529024,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.9824000000000019}",30,0,-136.28828499089465,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.982000000000002}",20,0,-79.05998378289345,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.981600000000002}",25,3,-73.08060668691948,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.9812000000000021}",25,0,-168.24481860403998,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.9808000000000021}",25,0,-108.37258022683078,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.9804000000000022}",20,0,-64.37262957734156,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.9800000000000022}",30,0,-184.41575970286738,"{0: 14, 1: 6, 2: 7, 3: 1, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.9796000000000022}",30,0,-119.00346807859385,"{0: 21, 1: 0, 2: 6, 3: 2, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.9792000000000023}",35,0,-131.21604370185736,"{0: 23, 1: 5, 2: 5, 3: 0, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.9788000000000023}",20,13,-15.575798227095717,"{0: 4, 1: 2, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.9784000000000024}",20,0,-74.18468580129492,"{0: 9, 1: 5, 2: 6, 3: 0, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.9780000000000024}",20,0,-92.13607217815652,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.9776000000000025}",25,0,-37.64728040407111,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.9772000000000025}",25,0,-94.03874911702353,"{0: 14, 1: 4, 2: 5, 3: 2, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.9768000000000026}",25,0,-92.9661497860482,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.9764000000000026}",25,0,-166.02501182257174,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
60,False,"{'a': 0.5, 'e': 0.9760000000000026}",30,0,-90.69972128487488,"{0: 19, 1: 5, 2: 5, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.9756000000000027}",35,0,-227.60620880151754,"{0: 18, 1: 4, 2: 9, 3: 1, 4: 3}",0
62,False,"{'a': 0.5, 'e': 0.9752000000000027}",20,0,-76.66060224234138,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.9748000000000028}",30,0,-120.50912307866588,"{0: 17, 1: 6, 2: 5, 3: 1, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.9744000000000028}",25,0,-178.74597517648198,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
65,False,"{'a': 0.5, 'e': 0.9740000000000029}",30,0,-130.91489022571787,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
66,False,"{'a': 0.5, 'e': 0.9736000000000029}",25,0,-126.43661507462986,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.973200000000003}",20,0,-121.44035652910748,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.972800000000003}",25,0,-135.03386146777672,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
69,False,"{'a': 0.5, 'e': 0.972400000000003}",20,0,-91.45246796551702,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
70,False,"{'a': 0.5, 'e': 0.9720000000000031}",25,0,-125.80528769339959,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.9716000000000031}",25,0,-118.19368253303065,"{0: 12, 1: 4, 2: 7, 3: 2, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.9712000000000032}",35,0,-196.89613977438276,"{0: 18, 1: 3, 2: 12, 3: 0, 4: 2}",0
73,False,"{'a': 0.5, 'e': 0.9708000000000032}",20,0,-97.60525437957699,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.9704000000000033}",25,0,-131.7266010579384,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.9700000000000033}",20,0,-194.47847692483288,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 3}",0
76,False,"{'a': 0.5, 'e': 0.9696000000000033}",25,0,-66.82812537266719,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.9692000000000034}",20,14,-4.5543515359600075,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.9688000000000034}",35,0,-137.7368671318105,"{0: 21, 1: 8, 2: 4, 3: 0, 4: 2}",0
79,False,"{'a': 0.5, 'e': 0.9684000000000035}",30,19,-7.341427312839855,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.9680000000000035}",20,11,-17.315438545033334,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.9676000000000036}",20,0,-110.68932672613147,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.9672000000000036}",20,0,-98.50461384572338,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.9668000000000037}",25,0,-206.49784489203725,"{0: 11, 1: 4, 2: 6, 3: 1, 4: 3}",0
84,False,"{'a': 0.5, 'e': 0.9664000000000037}",20,0,-77.92525850894161,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
85,False,"{'a': 0.5, 'e': 0.9660000000000037}",25,0,-137.42394626167427,"{0: 13, 1: 6, 2: 4, 3: 0, 4: 2}",0
86,False,"{'a': 0.5, 'e': 0.9656000000000038}",20,0,-100.35922298852051,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.9652000000000038}",20,0,-95.45171129313806,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.9648000000000039}",25,0,-209.0829667028252,"{0: 13, 1: 1, 2: 6, 3: 2, 4: 3}",0
89,False,"{'a': 0.5, 'e': 0.9644000000000039}",20,0,-244.02937985850565,"{0: 8, 1: 1, 2: 5, 3: 2, 4: 4}",0
90,False,"{'a': 0.5, 'e': 0.964000000000004}",25,0,-110.07084880310379,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.963600000000004}",20,11,-31.470136524496702,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.963200000000004}",25,15,-83.72393075516426,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 2}",1
93,False,"{'a': 0.5, 'e': 0.9628000000000041}",20,0,-77.85501725968973,"{0: 14, 1: 0, 2: 3, 3: 3, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.9624000000000041}",20,0,-45.60011836767347,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.9620000000000042}",20,12,-19.16367796705961,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.9616000000000042}",25,0,-126.29960961312125,"{0: 17, 1: 3, 2: 1, 3: 2, 4: 2}",0
97,False,"{'a': 0.5, 'e': 0.9612000000000043}",25,0,-147.85755585159234,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
98,False,"{'a': 0.5, 'e': 0.9608000000000043}",20,2,-127.57023028577848,"{0: 8, 1: 1, 2: 7, 3: 1, 4: 1}",1
99,False,"{'a': 0.5, 'e': 0.9604000000000044}",25,0,-197.5492900633502,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 3}",0
100,False,"{'a': 0.5, 'e': 0.9600000000000044}",20,0,-161.1752972936337,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
101,False,"{'a': 0.5, 'e': 0.9596000000000044}",25,0,-64.52196158641011,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.9592000000000045}",30,0,-133.60205991375898,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
103,False,"{'a': 0.5, 'e': 0.9588000000000045}",25,0,-162.72757886159113,"{0: 9, 1: 6, 2: 8, 3: 1, 4: 1}",0
104,False,"{'a': 0.5, 'e': 0.9584000000000046}",25,0,-58.97085923851135,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
105,False,"{'a': 0.5, 'e': 0.9580000000000046}",20,0,-25.25650747734579,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
106,False,"{'a': 0.5, 'e': 0.9576000000000047}",25,0,-130.5161201739467,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
107,False,"{'a': 0.5, 'e': 0.9572000000000047}",20,14,-7.563017840914318,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.9568000000000048}",25,0,-62.09710348116482,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
109,False,"{'a': 0.5, 'e': 0.9564000000000048}",20,0,-161.7476261572016,"{0: 8, 1: 1, 2: 9, 3: 0, 4: 2}",0
110,False,"{'a': 0.5, 'e': 0.9560000000000048}",25,0,-74.15125335276547,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
111,False,"{'a': 0.5, 'e': 0.9556000000000049}",30,0,-112.14100642637216,"{0: 18, 1: 7, 2: 3, 3: 1, 4: 1}",0
112,False,"{'a': 0.5, 'e': 0.9552000000000049}",30,9,-72.77334222905098,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 1}",1
113,False,"{'a': 0.5, 'e': 0.954800000000005}",20,0,-55.491268459042196,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.954400000000005}",20,0,-92.59526413017005,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
115,False,"{'a': 0.5, 'e': 0.9540000000000051}",20,0,-123.28233574063162,"{0: 9, 1: 5, 2: 3, 3: 2, 4: 1}",0
116,False,"{'a': 0.5, 'e': 0.9536000000000051}",35,0,-160.83105899964545,"{0: 20, 1: 6, 2: 6, 3: 1, 4: 2}",0
117,False,"{'a': 0.5, 'e': 0.9532000000000052}",20,11,-40.95965581089051,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 1}",1
118,False,"{'a': 0.5, 'e': 0.9528000000000052}",20,0,-14.008800908311906,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.9524000000000052}",20,0,-56.23419996439249,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
120,False,"{'a': 0.5, 'e': 0.9520000000000053}",35,9,-128.7722368923454,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 2}",1
